YEAR,MN,DT,MAX,MIN,AW,RF,DRNRF(hrs),DRNRF(mnts)
2002,1,1,25,16,2,0,0,0
2002,1,2,26.5,14.6,4,0,0,0
2002,1,3,25.5,14.5,5,0,0,0
2002,1,4,25.1,14,3,0,0,0
2002,1,5,26,13,4,0,0,0
2002,1,6,25.5,18.1,5,0,0,0
2002,1,7,28,18.5,5,0,0,0
2002,1,8,29,18,5,0,0,0
2002,1,9,28,17.5,4,0,0,0
2002,1,10,23.5,17.5,5,0,0,0
2002,1,11,26,14,4,0,0,0
2002,1,12,26,14,4,0,0,0
2002,1,13,27.5,12,3,0,0,0
2002,1,14,17.5,11,5,0,0,0
2002,1,15,27.5,12,3,0,0,0
2002,1,16,28.5,14,4,0,0,0
2002,1,17,28,15,5,0,0,0
2002,1,18,29.7,15.5,6,0,0,0
2002,1,19,29.5,17,3,0,0,0
2002,1,20,30,19.1,10,0,0,0
2002,1,21,29.5,20,3,0,0,0
2002,1,22,30.5,19.5,4,0,0,0
2002,1,23,32,19,7,0,0,0
2002,1,24,32.5,17.6,5,0,0,0
2002,1,25,34,18,4,0,0,0
2002,1,26,32,18.4,4,0,0,0
2002,1,27,32,19.6,5,0,0,0
2002,1,28,31.5,18.5,6,0,0,0
2002,1,29,30,18.5,6,0,0,0
2002,1,30,31,16.5,5,0,0,0
2002,1,31,29,15.5,6,0,0,0
2002,2,1,28.5,19.5,5,0.2,0,2
2002,2,2,29,18,8,0,0,0
2002,2,3,25,19.1,3,0,0,0
2002,2,4,27.2,15,4,0,0,0
2002,2,5,34,15.6,3,0,0,0
2002,2,6,34.5,17,5,0,0,0
2002,2,7,30.2,17,6,0,0,0
2002,2,8,30.5,18.8,6,0,0,0
2002,2,9,30,19.6,4,0,0,0
2002,2,10,28.5,15.6,4,0,0,0
2002,2,11,29.5,15.6,5,0,0,0
2002,2,12,31.5,17.5,6,0,0,0
2002,2,13,30.5,15,4,0,0,0
2002,2,14,30.2,15.5,6,0,0,0
2002,2,15,30.5,16,6,0,0,0
2002,2,16,31.5,16,5,0,0,0
2002,2,17,32,16.1,4,0,0,0
2002,2,18,31,13,6,0,0,0
2002,2,19,31.5,14.5,5,0,0,0
2002,2,20,32.5,15.5,4,0,0,0
2002,2,21,32.5,14.5,4,0,0,0
2002,2,22,33,15,5,0,0,0
2002,2,23,32,15,6,0,0,0
2002,2,24,31.5,15,6,0,0,0
2002,2,25,32.5,13.5,6,0,0,0
2002,2,26,32.5,12,5,0,0,0
2002,2,27,32.5,16,5,0,0,0
2002,2,28,33.5,17,4,0,0,0
2002,3,1,33.5,16,7,0,0,0
2002,3,2,34,16,7,0,0,0
2002,3,3,34.5,17,5,0,0,0
2002,3,4,35.5,18.5,5,0,0,0
2002,3,5,34.5,17.5,5,0,0,0
2002,3,6,34.5,17.5,5,0,0,0
2002,3,7,35,18,7,0,0,0
2002,3,8,35,20.5,7,0,0,0
2002,3,9,35.5,20,8,0,0,0
2002,3,10,32.5,18.6,8,0,0,0
2002,3,11,33,18,6,0,0,0
2002,3,12,35.5,18.5,5,0,0,0
2002,3,13,35,17.5,6,0,0,0
2002,3,14,34,17,6,0,0,0
2002,3,15,34,18.5,6,0,0,0
2002,3,16,33.5,19,6,0,0,0
2002,3,17,35,18.1,5,0,0,0
2002,3,18,34.5,18,7,0,0,0
2002,3,19,33.5,16.5,6,0,0,0
2002,3,20,34,16,5,0,0,0
2002,3,21,34,16.5,5,0,0,0
2002,3,22,36,20,5,0,0,0
2002,3,23,35.5,21,7,0,0,0
2002,3,24,36,21.5,4,0,0,0
2002,3,25,36.5,23,5,0,0,0
2002,3,26,37,22,4,0,0,0
2002,3,27,37,20,10,0,0,0
2002,3,28,37,22.5,7,0,0,0
2002,3,29,37,22.6,7,0,0,0
2002,3,30,36.5,22.5,7,0,0,0
2002,3,31,36,22.6,8,0,0,0
2002,4,1,35.6,22.1,6,0,0,0
2002,4,2,36.5,24,7,0,0,0
2002,4,3,37,22.5,5,1.4,0,7
2002,4,4,37.5,24,8,0,0,0
2002,4,5,37.1,19.6,6,1.6,0,57
2002,4,6,36,21.5,4,0,0,0
2002,4,7,36.5,19.6,6,0,0,0
2002,4,8,35.5,20,5,0,0,0
2002,4,9,35.5,21,5,0,0,0
2002,4,10,36,21,5,0,0,0
2002,4,11,37,20.5,8,0,0,0
2002,4,12,37,21.5,5,0,0,0
2002,4,13,36.5,23.1,6,0,0,0
2002,4,14,36,21,7,0,0,0
2002,4,15,35.5,21.5,7,0,0,0
2002,4,16,36.5,21.5,7,0,0,0
2002,4,17,37.2,21.5,7,0,0,0
2002,4,18,37.5,20.5,7,0,0,0
2002,4,19,37.7,21.5,6,0,0,0
2002,4,20,37.2,22,7,0,0,0
2002,4,21,37,22,6,0,0,0
2002,4,22,37,21.5,6,0,0,0
2002,4,23,38.5,23,5,0,0,0
2002,4,24,38,22.5,7,0,0,0
2002,4,25,38.1,22,6,0,0,0
2002,4,26,37.5,21.5,8,0,0,0
2002,4,27,37.5,22,6,0,0,0
2002,4,28,38.5,22,6,0,0,0
2002,4,29,37.7,21.5,6,0,0,0
2002,4,30,38.2,22.5,6,0,0,0
2002,5,1,38.8,22,6,0,0,0
2002,5,2,38.2,22,6,0,0,0
2002,5,3,36.2,22.5,9,0,0,0
2002,5,4,35,22.5,7,0,0,0
