YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW
2002,1,12,1,939.4,1018.1,18.8,17.6,16.9,89,19.2,14,4,2
2002,1,12,2,940.4,1019.3,18.8,16.6,15.2,80,21.7,5,4,5
2002,1,12,3,939.1,1018.3,17.8,16.6,15.9,88,18.1,5,4,4
2002,1,12,4,938.2,1017.6,17,16,15.4,90,17.5,5,4,2
2002,1,12,5,937.4,1015.3,20.4,19,18.2,87,20.1,14,4,2
2002,1,12,6,937,1014.8,21.2,19.6,18.8,86,22.5,14,4,5
2002,1,12,7,937.7,1016.2,20,19.2,18.8,93,21.7,14,4,4
2002,1,12,8,936.7,1014.5,21,19.2,18.2,91,20.9,14,6,4
2002,1,12,9,937.7,1016.2,19.4,18.4,17.5,91,20,14,4,2
2002,1,12,10,938.2,1016.7,20,19,18.5,91,21.3,14,4,3
2002,1,12,11,937.5,1016.6,17.2,16.4,15.9,92,18.1,5,4,3
2002,1,12,12,937.1,1016.4,17,16,15.4,90,17.5,5,4,2
2002,1,12,13,936.7,1015.6,18,16,14.7,81,16.7,14,4,2
2002,1,12,14,935.1,1015.1,13.4,12.2,11.3,87,13.4,14,4,3
2002,1,12,15,935.2,1014.9,15,13.6,12.6,85,14.6,14,4,3
2002,1,12,16,935.5,1014.1,18.2,16,14.6,79,16.6,14,4,4
2002,1,12,17,934.5,1013.2,17.4,16.6,16.1,92,18.3,14,4,5
2002,1,12,18,933.5,1011.9,18.4,16.4,15.1,81,17.2,14,4,7
2002,1,12,19,933.8,1012,20,18,16.8,82,19.1,14,4,2
2002,1,12,20,934.8,1012.4,21.6,18.8,17.2,76,19.6,14,6,12
2002,1,12,21,934.5,1011.8,22.2,20.6,19.8,86,23.1,14,4,2
2002,1,12,22,934.6,1012.2,21.4,20.6,20.2,93,23.7,14,4,3
2002,1,12,23,934.6,1011.9,22.2,20.6,19.8,86,23.1,14,4,5
2002,1,12,24,935.3,1013.9,18.6,17.6,17,91,19.4,14,4,4
2002,1,12,25,934.9,1012.5,21.4,19.2,18,81,20.6,18,4,3
2002,1,12,26,934.8,1013,20,19,18.5,91,21.3,5,4,2
2002,1,12,27,933.6,1011.2,21,20,19.5,91,22.7,14,6,4
2002,1,12,28,934.4,1012.6,19.6,18,17.1,85,19.5,23,4,8
2002,1,12,29,936.3,1013.8,22.6,19.6,18,75,20.6,14,4,6
2002,1,12,30,935.8,1014.1,19.6,17.4,16.1,80,18.3,14,4,4
2002,1,12,31,936.9,1015.8,17.8,16.6,15.9,88,18.1,14,4,3
2002,1,48,1,936.9,1014.1,23.2,17.4,13.7,56,15.7,14,4,3
2002,1,48,2,937.2,1014.4,23.2,18.6,15.9,64,17.7,14,4,8
2002,1,48,3,935.8,1013,23.2,17.6,14.1,56,16.1,14,4,6
2002,1,48,4,935,1011.8,24.6,20,17.5,65,20.8,14,4,6
2002,1,48,5,933.8,1010.6,25,21,19,69,22.5,14,4,6
2002,1,48,6,933.5,1009.8,27,21,17.9,57,20.5,14,4,6
